Product_ID,Product_Name,Product_Price
1,FinPredictor Suite,"₱140,000"
2,MarketMinder Analytics,"₱168,000"
3,TrendWise Forecaster,"₱100,800"
4,CustomerScope Insights,"₱123,200"
5,SalesSync Optimizer,"₱84,000"
6,RevenueVue Dashboard,"₱179,200"
7,DataBridge Integration Tool,"₱151,200"
8,RiskRadar Monitor,"₱151,200"
9,Product 9,"₱112,000"
10,SegmentX Targeting,"₱89,600"
11,OptiFlow Automation,"₱156,800"
12,BudgetMaster Pro,"₱84,000"
13,ForecastXcelerator ,"₱196,000"
14,InsightMax Insights Platform,"₱128,800"
15,NexGen Segmentator,"₱100,800"
16,SpendTrack Plus,"₱106,400"
17,RealTime Revenue,"₱168,000"
18,DashSync Analytics Hub,"₱134,400"
19,EcoNomix Modeler,"₱95,200"
20,FinSphere Intelligence Suite,"₱224,000"
